Artifact,What command to run,What is abnormal to see,What is normal to see,What value or knowledge it gives about the stage
Bash history (current user),"cat ~/.bash_history","Use of nmap, who, w, last, ip a, ifconfig, netstat, ss, arp, cat /etc/passwd, uname -a, lscpu, lsblk in unusual context","Regular admin commands you recognize","Shows whether someone performed host/system discovery manually"
Root and other users history,"for u in /home/*; do cat $u/.bash_history 2>/dev/null; done","Same recon commands across multiple users","Minimal or predictable usage","Detects lateral recon or attacker checking accounts"
Global shell history size,"echo $HISTSIZE","HISTSIZE = 0 (history disabled) unexpectedly","Normal configured value","Indicates possible attempt to avoid leaving recon traces"
Last logins,"last -a","Logins from unusual IP ranges or at odd hours","Known IPs and admin times","Shows potential external recon session"
Failed logins,"lastb","Many failed attempts before successful login","Few typos","May indicate brute force followed by recon"
SSH logs,"grep 'Accepted\|Failed' /var/log/auth.log (Debian) or /var/log/secure (RHEL)","Login followed by immediate logout and repeated short sessions","Long stable sessions","Short sessions often indicate automated recon"
Account enumeration,"cat /etc/passwd","Recently accessed unexpectedly or reviewed by unknown user","System accounts and known users","Attackers often enumerate users for privilege targeting"
Sudo attempts,"grep sudo /var/log/auth.log","Many sudo attempts across users","Regular admin usage","Shows privilege reconnaissance"
Network interface inspection,"ip a","Interfaces in promiscuous mode (PROMISC) unexpectedly","Normal NIC config","May indicate sniffing or recon of network structure"
ARP table,"arp -a","Large number of discovered hosts","Few local devices","Indicates internal network mapping"
Routing table,"ip route","Strange routes to unknown subnets","Default gateway only","Detects network discovery activity"
DNS configuration and logs,"cat /etc/resolv.conf and review /var/log/syslog","Queries to suspicious domains or internal enumeration","Normal ISP or company DNS","Shows DNS-based recon attempts"
SSH known hosts file,"cat ~/.ssh/known_hosts","Many internal IPs added in short timeframe","Few expected entries","Indicates SSH probing activity"
Cron listing (read-only inspection),"crontab -l and ls -la /etc/cron*","Scripts that list system info unexpectedly","Known scheduled jobs","Some attackers automate recon via scheduled scripts"
Installed packages enumeration,"dpkg -l (Debian) or rpm -qa (RHEL)","Presence of scanning tools like nmap, masscan, netcat on non-admin system","Normal base packages","Indicates capability for recon"
Open ports state check,"ss -tuln","Many unusual listening ports","Expected service ports","Shows system surface that attacker may have mapped"
Environment variables,"env","Variables altered to gather system info","Standard user env vars","Sometimes attackers check system architecture"
Kernel and OS info access,"uname -a","Recently used in suspicious session","Admin curiosity","Confirms system profiling attempt"
Hardware info access,"lshw or lscpu","Usage in non-admin environment","Rarely used normally","Indicates hardware profiling"
Mounted shares,"mount","Unexpected remote shares mounted","Known mounts","Could indicate mapping internal resources"
Hosts file inspection,"cat /etc/hosts","Added internal IP mappings","Default localhost entries","May indicate target identification"
